ID,Categoria,Personagem,Fase / Evolução,Tipo de Sprite / Animação,Perspectiva / Enquadramento,Prompt Positivo ComfyUI (CLIP Text Encode),Prompt Negativo ComfyUI,Resolução Recomendada (LxA),Checkpoint Recomendado,LoRA & Peso,Sampler & Scheduler,Steps & CFG,ControlNet / IP-Adapter,Notas de Pós-Processamento
SPR_SYS_KAELEN_01_HUD,Sistema / Interface,Kaelen (A Voz do Mundo),Projeção Holográfica,UI Portrait / Hologram Idle,Frontal Portrait,"pixel art style, glowing cyan-blue holographic digital avatar portrait, abstract geometric deity face with floating cosmic runes, digital glitch aura, clean transparent/chroma green background, sharp pixel lines, 64x64 icon style","realistic human skin, complex background, 3D render, blur, noisy pixels",512x512,SDXL Base,PixelArt_v3:0.85,euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet Tile,Efeito de transparência alpha com brilho aditivo (additive glow) na engine
SPR_APOS_KROUG_01_IDLE,Apóstolo,Kroug,Goblin da Lama (Forma 1),Idle/Flee,Top-Down 2.5D,"pixel art style, sprite sheet, multiple frames, pure chroma green background, 0.9m tall skinny mud goblin, ragged brown loincloth, holding brittle wooden club, nervous expressions, 8-directional, crisp pixel contours","muscular, armored, realistic, 3D",1024x1024,SDXL Base,"PixelArt_v3:0.85, SpriteSheet:0.7",euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, recorte de frames 32x32"
SPR_APOS_KROUG_02_BLOCK,Apóstolo,Kroug,Hobgoblin de Ferro (Forma 2),Defend/Attack,Top-Down 2.5D,"pixel art style, sprite sheet, multiple frames, pure chroma green background, 1.9m tall muscular hobgoblin in salvaged rusted iron plate armor, holding heavy iron tower shield and spiked mace, defensive block pose, 8-directional","weak, small goblin, blurry",1024x1024,SDXL Base,"PixelArt_v3:0.85, SpriteSheet:0.7",euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, recorte de frames 48x48"
SPR_APOS_LIRA_01_FLOAT,Apóstolo,Lira,Muda Mágica (Forma 1),Idle/Heal,Top-Down 2.5D,"pixel art style, sprite sheet, pure chroma green background, tiny 0.4m bioluminescent floating plant sprout nymph, glowing emerald leaf hair, radiating healing sparkles, gentle hovering animation frames, 8-directional","human woman, giant tree, dark monster",1024x1024,SDXL Base,"PixelArt_v3:0.85, SpriteSheet:0.7",euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, recorte de frames 32x32"
SPR_APOS_LIRA_02_CAST,Apóstolo,Lira,Dríade Sombria (Forma 2),Cast/Skill,Top-Down 2.5D,"pixel art style, sprite sheet, pure chroma green background, 1.7m slender dark dryad humanoid, body of black ironwood bark, glowing purple vine hair, poisonous thorn brambles erupting from ground, 8-directional","cheerful elf, bright flowers, blurry",1024x1024,SDXL Base,"PixelArt_v3:0.85, SpriteSheet:0.7",euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, recorte de frames 48x48"
SPR_APOS_THALKOR_01_FLY,Apóstolo,Thal'kor,Corvo Bestial (Forma 1),Fly/Scout,Top-Down 2.5D,"pixel art style, sprite sheet, pure chroma green background, large three-beaked monstrous raven, metallic black feathers, fast flapping flight animation frames, diving scout pose, 8-directional","cute bird, pigeon, white feathers",1024x1024,SDXL Base,"PixelArt_v3:0.85, SpriteSheet:0.7",euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, recorte de frames 32x32"
SPR_APOS_THALKOR_02_SLASH,Apóstolo,Thal'kor,Harpia Noturna (Forma 2),Attack/Dash,Top-Down 2.5D,"pixel art style, sprite sheet, pure chroma green background, agile winged harpy humanoid, sharp feather blade daggers in hands, throwing razor black feathers, acrobat diving dash animation, 8-directional","colorful feathers, cute anime girl, bulky",1024x1024,SDXL Base,"PixelArt_v3:0.85, SpriteSheet:0.7",euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, recorte de frames 48x48"
SPR_APOS_GARM_01_RUN,Apóstolo,Garm,Lobo Caolho (Forma 1),Walk/Run,Top-Down 2.5D,"pixel art style, sprite sheet, pure chroma green background, agile lean silver-gray wolf, prominent scar over blind left eye, sharp amber right eye, running gallop animation frames, saddle mounts for imp, 8-directional","cute puppy, fluffy husky, 3D render",1024x1024,SDXL Base,"PixelArt_v3:0.85, SpriteSheet:0.7",euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, recorte de frames 48x32"
SPR_APOS_GARM_02_BITE,Apóstolo,Garm,Cão do Inferno Sombrio (Forma 2),Attack/Bite,Top-Down 2.5D,"pixel art style, sprite sheet, pure chroma green background, double-sized shadow hound, fur composed of black billowing smoke, dripping green acidic saliva from fangs, vicious pounce attack animation, 8-directional","cute dog, fire hound with normal red fur",1024x1024,SDXL Base,"PixelArt_v3:0.85, SpriteSheet:0.7",euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, recorte de frames 64x48"
SPR_NPC_GOB_WORKER_01,NPC / Aliado,Goblin Construtor das Cinzas,Cidadão Comum,Work/Idle,Top-Down 2.5D,"pixel art style, sprite sheet, pure chroma green background, small hunched goblin worker, carrying stone basket and pickaxe, mining volcanic rock animation, 4-directional","warrior armor, magic spells, weapons",1024x1024,SDXL Base,PixelArt_v3:0.85,euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, sprite 32x32"
SPR_NPC_DWARF_SMITH_01,NPC / Aliado,Mestre Ferreiro Anão Rebelde,Clãs dos Picos de Cinza,Forge/Idle,Top-Down 2.5D,"pixel art style, sprite sheet, pure chroma green background, stocky dwarf blacksmith, thick braided gray beard, heavy leather apron, hammering glowing obsidian bar on anvil, 4-directional","tall, human, holy robes",1024x1024,SDXL Base,PixelArt_v3:0.85,euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, sprite 48x48"
SPR_NPC_ELF_DRUID_01,NPC / Aliado,Herbalista Elfo Caído,Raízes Podres,Craft/Cast,Top-Down 2.5D,"pixel art style, sprite sheet, pure chroma green background, slender dark fallen elf, tattered ash cloak, brewing glowing aether potion in cauldron, mixing glowing fungi, 4-directional","bright blonde high elf, golden armor",1024x1024,SDXL Base,PixelArt_v3:0.85,euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, sprite 48x48"
SPR_NPC_GOLEM_ETHER_01,NPC / Tropa de Choque,Golem de Éter Antigo,Construto Reativado,Walk/Smash,Top-Down 2.5D,"pixel art style, sprite sheet, pure chroma green background, 3m tall ancient basalt stone golem, glowing blue aether energy core in chest, heavy stone fist slam animation, 8-directional","organic skin, iron robot, steam",1024x1024,SDXL Base,PixelArt_v3:0.85,euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, sprite 64x64"
SPR_ENEMY_PALADIN_WALL_01,Inimigo / Tropa,Paladino da Alvorada,Linha de Escudos,Shield Wall / Walk,Top-Down 2.5D,"pixel art style, sprite sheet, pure chroma green background, human knight in gleaming silver-white plate armor, white tabard with sun crest, massive locked tower shield, spear thrust animation, 8-directional","dark armor, demon, monster",1024x1024,SDXL Base,PixelArt_v3:0.85,euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, sprite 48x48"
SPR_ENEMY_GRIFFIN_CAV_01,Inimigo / Elite,Cavaleiro de Grifo Alabastro,Cavalaria Aérea,Fly/Dive Attack,Top-Down 2.5D,"pixel art style, sprite sheet, pure chroma green background, armored white feathered griffin, mounted paladin lancer with radiant gold lance, diving aerial swoop attack, 8-directional","black bird, demon horse",1024x1024,SDXL Base,PixelArt_v3:0.85,euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, sprite 64x64"
SPR_ENEMY_CROSSBOW_01,Inimigo / Tropa,Besteiro da Inquisição,Atirador Sagrado,Shoot / Reload,Top-Down 2.5D,"pixel art style, sprite sheet, pure chroma green background, zealous inquisitorial sharpshooter, hooded steel visor, aiming heavy mechanical crossbow loaded with glowing golden bolts, 8-directional","friendly, mage robes",1024x1024,SDXL Base,PixelArt_v3:0.85,euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, sprite 32x32"
SPR_ENEMY_BISHOP_HEAL_01,Inimigo / Suporte,Arcebispo Solar,Clérigo de Retaguarda,Cast/Heal,Top-Down 2.5D,"pixel art style, sprite sheet, pure chroma green background, ornate white and gold liturgical robes, holding golden sun staff, chanting healing beam aura animation, 8-directional","evil cultist, dark magic, armor",1024x1024,SDXL Base,PixelArt_v3:0.85,euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, sprite 48x48"
SPR_BOSS_CARD_IGNIS_01,Chefe,Cardeal Ignis,O Bispo de Lava Branca (Ato I Boss),Cast/Lava Burst,Top-Down 2.5D,"pixel art style, sprite sheet, pure chroma green background, towering pontiff in burning white robes over golden plate armor, tall papal mitre, summoning erupting rivers of pure white-hot holy magma from floor, 8-directional","red lava, weak, dark demon",1024x1024,SDXL Base,PixelArt_v3:0.85,euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, sprite 64x64"
SPR_BOSS_CARD_ZEPHYR_01,Chefe,Cardeal Zephyr,O Soberano das Tempestades (Ato II Boss),Fly/Tornado,Top-Down 2.5D,"pixel art style, sprite sheet, pure chroma green background, winged cardinal riding four-winged celestial pegasus, wielding silver wind rapier, summoning swirling golden light cyclones, 8-directional","grounded, dark monster",1024x1024,SDXL Base,PixelArt_v3:0.85,euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, sprite 64x64"
SPR_BOSS_CARD_AQUA_01,Chefe,Cardeal Aqua,A Senhora do Lago Bispado (Ato II Boss),Cast/Holy Wave,Top-Down 2.5D,"pixel art style, sprite sheet, pure chroma green background, veiled cardinal in flowing aqua-blue and gold vestments, floating above pool of consecrated burning holy water, tidal wave tsunami attack, 8-directional","dryad, fire, dark magic",1024x1024,SDXL Base,PixelArt_v3:0.85,euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, sprite 64x64"
SPR_BOSS_CARD_TERRA_01,Chefe,Cardeal Terra,A Muralha Sagrada Viva (Ato III Boss),Slam/Wall Raise,Top-Down 2.5D,"pixel art style, sprite sheet, pure chroma green background, giant bearded cardinal encased in living sanctified white marble battlements, colossal stone warhammer, raising fortress pillars from ground, 8-directional","agile, small, dark stone",1024x1024,SDXL Base,PixelArt_v3:0.85,euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, sprite 64x64"
SPR_BOSS_CARD_UMBRA_01,Chefe,Cardeal Umbra,O Grande Inquisidor das Sombras (Ato III Boss),Teleport/Mind Break,Top-Down 2.5D,"pixel art style, sprite sheet, pure chroma green background, masked sinister cardinal draped in black and gold liturgical cloaks, wielding twin sacrificial khopeshes, creating shadowy mirror clones and mind-control sigils, 8-directional","bright holy aura, friendly",1024x1024,SDXL Base,PixelArt_v3:0.85,euler_ancestral / karras,"28 steps, CFG 7.0",ControlNet OpenPose,"Rembg, sprite 64x64"
